GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A1L461	REV1	involved_in	GO:0006281	DNA repair	ECO:0000314	IDA	PMID:21926160		9606	CACAO		P
UniProtKB	A1Z1Q3	MACROD2	involved_in	GO:0006974	DNA damage response	ECO:0000315	IMP	PMID:23474712		9606	UniProt		P
UniProtKB	A4GXA9	EME2	involved_in	GO:0006302	double-strand break repair	ECO:0000314	IDA	PMID:17289582		9606	ComplexPortal		P
UniProtKB	A6NF83	NUPR2	involved_in	GO:0006974	DNA damage response	ECO:0000314	IDA	PMID:25899918		9606	UniProt		P
UniProtKB	A8MT69	CENPX	involved_in	GO:0036297	interstrand cross-link repair	ECO:0000314	IDA	PMID:20347429		9606	ComplexPortal		P
UniProtKB	C0HM98	CTBP1-DT	involved_in	GO:0000725	recombinational repair	ECO:0000315	IMP	PMID:35849344		9606	UniProt		P
UniProtKB	C0HM98	CTBP1-DT	involved_in	GO:0006301	DNA damage tolerance	ECO:0000315	IMP	PMID:35849344		9606	UniProt		P
UniProtKB	O00213	APBB1	involved_in	GO:0006974	DNA damage response	ECO:0000314	IDA	PMID:18468999		9606	UniProt		P
UniProtKB	O00255	MEN1	involved_in	GO:0006974	DNA damage response	ECO:0000314	IDA	PMID:16690369		9606	UniProt		P
UniProtKB	O00409	FOXN3	involved_in	GO:0007095	mitotic G2 DNA damage checkpoint signaling	ECO:0000316	IGI	PMID:9154802	UniProtKB:P38111	9606	UniProt		P
UniProtKB	O00487	PSMD14	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000315	IMP	PMID:22909820		9606	UniProt		P
UniProtKB	O00487	PSMD14	involved_in	GO:0006303	double-strand break repair via nonhomologous end joining	ECO:0000315	IMP	PMID:22909820		9606	UniProt		P
UniProtKB	O00497	hMLH1	acts_upstream_of_or_within	GO:0006298	mismatch repair	ECO:0000315	IMP	PMID:11555625		9606	MGI		P
UniProtKB	O14757	CHEK1	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000314	IDA	PMID:16963448		9606	UniProt		P
UniProtKB	O14757	CHEK1	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000315	IMP	PMID:19716789		9606	UniProt		P
UniProtKB	O14757	CHEK1	involved_in	GO:0006281	DNA repair	ECO:0000315	IMP	PMID:19716789		9606	UniProt		P
UniProtKB	O14757	CHEK1	involved_in	GO:0006974	DNA damage response	ECO:0000315	IMP	PMID:20932473		9606	UniProt		P
UniProtKB	O14757	CHEK1	involved_in	GO:0007095	mitotic G2 DNA damage checkpoint signaling	ECO:0000315	IMP	PMID:20932473		9606	UniProt		P
UniProtKB	O14757	CHEK1	involved_in	GO:0042770	signal transduction in response to DNA damage	ECO:0000314	IDA	PMID:16963448		9606	UniProt		P
UniProtKB	O14867	BACH1	involved_in	GO:0006281	DNA repair	ECO:0000315	IMP	PMID:11301010		9606	CACAO		P
UniProtKB	O15151	MDM4	involved_in	GO:0030330	DNA damage response, signal transduction by p53 class mediator	ECO:0000270	IEP	PMID:14660608		9606	UniProt		P
UniProtKB	O15315	RAD51B	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000315	IMP	PMID:23149936		9606	UniProt		P
UniProtKB	O15350	TP73	involved_in	GO:0006974	DNA damage response	ECO:0000314	IDA	PMID:18174154		9606	UniProt		P
UniProtKB	O15350	TP73	involved_in	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	ECO:0000314	IDA	PMID:18174154		9606	UniProt		P
UniProtKB	O15350	TP73	involved_in	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	ECO:0000314	IDA	PMID:19490146		9606	UniProt		P
UniProtKB	O15379	HDAC3	involved_in	GO:0140861	DNA repair-dependent chromatin remodeling	ECO:0000314	IDA	PMID:25301942		9606	UniProt		P
UniProtKB	O15516	CLOCK	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000315	IMP	PMID:21659603		9606	UniProt		P
UniProtKB	O15527	OGG1	acts_upstream_of_or_within	GO:0006289	nucleotide-excision repair	ECO:0000314	IDA	PMID:19506022		9606	MGI		P
UniProtKB	O15527	OGG1	acts_upstream_of_or_within	GO:0006974	DNA damage response	ECO:0000316	IGI	PMID:19506022	UniProtKB:P43351	9606	MGI		P
UniProtKB	O43189	PHF1	involved_in	GO:0140861	DNA repair-dependent chromatin remodeling	ECO:0000314	IDA	PMID:23142980		9606	UniProt		P
UniProtKB	O43299	AP5Z1	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000315	IMP	PMID:20613862		9606	UniProt		P
UniProtKB	O43463	SUV39H1	acts_upstream_of_or_within	GO:0006974	DNA damage response	ECO:0000314	IDA	PMID:23509280		9606	MGI		P
UniProtKB	O43464	HTRA2	involved_in	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	ECO:0000315	IMP	PMID:11602612		9606	ParkinsonsUK-UCL	happens_during(GO:0010225)	P
UniProtKB	O43502	RAD51C	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000315	IMP	PMID:23149936		9606	UniProt		P
UniProtKB	O43502	RAD51C	involved_in	GO:0006281	DNA repair	ECO:0000314	IDA	PMID:19451272		9606	UniProt		P
UniProtKB	O43521	BCL2L11	acts_upstream_of_or_within	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	ECO:0000314	IDA	PMID:11546872		9606	MGI		P
UniProtKB	O43542	XRCC3	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000315	IMP	PMID:23149936		9606	UniProt		P
UniProtKB	O43542	XRCC3	involved_in	GO:0006281	DNA repair	ECO:0000316	IGI	PMID:10422536		9606	BHF-UCL		P
UniProtKB	O43542	XRCC3	involved_in	GO:0036297	interstrand cross-link repair	ECO:0000315	IMP	PMID:26323318		9606	ParkinsonsUK-UCL		P
UniProtKB	O43543	XRCC2	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000315	IMP	PMID:23149936		9606	UniProt		P
UniProtKB	O43543	XRCC2	involved_in	GO:0006281	DNA repair	ECO:0000316	IGI	PMID:10422536		9606	BHF-UCL		P
UniProtKB	O43715	TRIAP1	acts_upstream_of	GO:0031571	mitotic G1 DNA damage checkpoint signaling	ECO:0000314	IDA	PMID:15735003		9606	BHF-UCL		P
UniProtKB	O43715	TRIAP1	involved_in	GO:0030330	DNA damage response, signal transduction by p53 class mediator	ECO:0000314	IDA	PMID:15735003		9606	BHF-UCL	causally_upstream_of(GO:0031571)	P
UniProtKB	O43719	HTATSF1	involved_in	GO:0000724	double-strand break repair via homologous recombination	ECO:0000314	IDA	PMID:35597237		9606	UniProt		P
