Symbol,GENE_BELONG_CATEGORY,重叠数量_同源重组（HR）,重叠数量_非同源末端连接（NHEJ）,重叠数量_碱基切除修复（BER）,重叠数量_核苷酸切除修复（NER）,重叠数量_错配修复（MMR）,重叠数量_跨损伤合成（TLS）,重叠数量_直接修复（DRR）,重叠数量_损伤应答检查点（CP）,重叠数量_未分类,STANDARD_NAME
ERCC6L2,混合(NHEJ+HR),1,2,0,0,0,0,0,0,2,"['GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_CLASSICAL_NONHOMOLOGOUS_END_JOINING', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_INTERSTRAND_CROSS_LINK_REPAIR', 'GOCC_CHROMOSOME_CENTROMERIC_REGION', 'NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN']"
LMNA,损伤应答检查点（CP）,0,0,0,0,0,0,0,3,22,"['ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP', 'BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'CHICAS_RB1_TARGETS_CONFLUENT', 'CHICAS_RB1_TARGETS_GROWING', 'FERNANDEZ_BOUND_BY_MYC', 'GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC', 'GOBP_TELOMERE_ORGANIZATION', 'GOCC_CHROMOSOME', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOCC_SITE_OF_DOUBLE_STRAND_BREAK', 'KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC', 'MAHAJAN_RESPONSE_TO_IL1A_DN', 'PULVER_FOREY_CELLCYCLE_PEAKING_M', 'PULVER_FOREY_PERTURB_ACCUMULATION_G1_S', 'PULVER_FOREY_PERTURB_ATTRITION_G2_M', 'SMIRNOV_RESPONSE_TO_IR_6HR_UP', 'WHITFIELD_CELL_CYCLE_G2_M', 'ZHU_CMV_8_HR_DN', 'ZHU_CMV_ALL_DN']"
MACROD1,损伤应答检查点（CP）,0,0,0,0,0,0,0,2,6,"['ACEVEDO_LIVER_CANCER_DN', 'ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN', 'ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN', 'CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'GOBP_DNA_DAMAGE_RESPONSE', 'PEREZ_TP53_TARGETS', 'ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN']"
MAPT,核苷酸切除修复（NER）,0,0,0,1,0,0,0,0,13,"['CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP', 'GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOMF_DNA_SECONDARY_STRUCTURE_BINDING', 'GOMF_MINOR_GROOVE_OF_ADENINE_THYMINE_RICH_DNA_BINDING', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP', 'KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3', 'LU_AGING_BRAIN_DN', 'MORF_ERCC4', 'OUILLETTE_CLL_13Q14_DELETION_DN', 'SCHLOSSER_SERUM_RESPONSE_UP', 'TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C', 'VERHAAK_GLIOBLASTOMA_PRONEURAL']"
MTA1,核苷酸切除修复（NER）,0,0,0,1,0,0,0,0,24,"['GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC', 'GOCC_CHROMOSOME', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY', 'GSE8835_HEALTHY_VS_CLL_CD8_TCELL_UP', 'KYNG_DNA_DAMAGE_BY_4NQO_OR_UV', 'KYNG_DNA_DAMAGE_UP', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2_M', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_S2', 'PULVER_FOREY_CELLCYCLE_PEAKING_G2_M', 'PULVER_FOREY_PERTURB_ACCUMULATION_S', 'PULVER_FOREY_PERTURB_ATTRITION_G1_S', 'SCHLOSSER_MYC_AND_SERUM_RESPONSE_SYNERGY', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP', 'TIEN_INTESTINE_PROBIOTICS_24HR_DN', 'WANG_LMO4_TARGETS_UP', 'ZHAN_MULTIPLE_MYELOMA_UP']"
NPM1,混合(HR+BER),1,0,1,0,0,0,0,0,25,"['BAE_BRCA1_TARGETS_DN', 'BILD_MYC_ONCOGENIC_SIGNATURE', 'CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'GCM_APEX1', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR', 'GOBP_DNA_REPAIR', 'GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS', 'GOBP_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR', 'GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE', 'GOCC_NUCLEOLUS', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_HISTONE_BINDING', 'GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY', 'HP_TYPIFIED_BY_SOMATIC_MOSAICISM', 'MODULE_392', 'MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_27', 'PATIL_LIVER_CANCER', 'PULVER_FOREY_PERTURB_ATTRITION_LG1', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP', 'SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C4_OSTEOCLAST', 'SU_HO_FOETAL_FEMUR_C0_TRANSITIONING_CELL', 'ZHU_CMV_24_HR_UP', 'ZHU_CMV_ALL_UP']"
NUCKS1,同源重组（HR）,3,0,0,0,0,0,0,0,26,"['ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN', 'ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP', 'CHICAS_RB1_TARGETS_SENESCENT', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'GEORGES_TARGETS_OF_MIR192_AND_MIR215', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DNA_REPLICATION', 'GOBP_DNA_STRAND_ELONGATION', 'GOBP_DNA_TEMPLATED_DNA_REPLICATION', 'GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_HOMOLOGOUS_RECOMBINATION', 'GOBP_INTERSTRAND_CROSS_LINK_REPAIR', 'GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_REGULATION_OF_DNA_REPLICATION', 'GOBP_REGULATION_OF_DNA_STRAND_ELONGATION', 'GOCC_CHROMOSOME', 'GOCC_NUCLEOLUS', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY', 'GSE8835_CD4_VS_CD8_TCELL_UP', 'HORIUCHI_WTAP_TARGETS_DN', 'PATIL_LIVER_CANCER', 'PULVER_FOREY_PERTURB_ACCUMULATION_M_EG1', 'SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE', 'WANG_LMO4_TARGETS_UP', 'WHITFIELD_CELL_CYCLE_G2', 'WHITFIELD_CELL_CYCLE_M_G1', 'ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN']"
OTUB1,核苷酸切除修复（NER）,0,0,0,1,0,0,0,0,4,"['GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_REGULATION_OF_DNA_REPAIR', 'LOPEZ_MBD_TARGETS', 'MORF_DDB1', 'PULVER_FOREY_CELLCYCLE_PEAKING_G2_M', 'SCHLOSSER_SERUM_RESPONSE_AUGMENTED_BY_MYC']"
PARK7,混合(NER+NHEJ+BER),0,1,1,2,0,0,0,0,11,"['FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY', 'GOCC_CHROMOSOME', 'GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_MRNA_BINDING', 'GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY', 'KIM_MYC_AMPLIFICATION_TARGETS_UP', 'LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN', 'MORF_XRCC5', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP', 'SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C4_OSTEOCLAST', 'SU_HO_CONV_CENT_CHONDROSARCOMA_STROMAL_C0_MINERALISATION_STROMAL_CELL', 'SU_HO_FOETAL_FEMUR_C0_TRANSITIONING_CELL']"
PPP1CA,混合(BER+NER),0,0,1,1,0,0,0,0,17,"['ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP', 'DACOSTA_UV_RESPONSE_VIA_ERCC3_UP', 'ENK_UV_RESPONSE_KERATINOCYTE_UP', 'GEORGES_CELL_CYCLE_MIR192_TARGETS', 'GEORGES_TARGETS_OF_MIR192_AND_MIR215', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION', 'GOBP_TELOMERE_ORGANIZATION', 'GOCC_CHROMOSOME', 'GOCC_NUCLEOLUS', 'KEGG_OOCYTE_MEIOSIS', 'KYNG_RESPONSE_TO_H2O2', 'LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN', 'LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER', 'LOPEZ_MBD_TARGETS', 'MAGRANGEAS_MULTIPLE_MYELOMA_IGG_VS_IGA_UP', 'MOOTHA_GLYCOGEN_METABOLISM', 'PULVER_FOREY_CELLCYCLE_PEAKING_G2', 'PULVER_FOREY_PERTURB_ACCUMULATION_LG1']"
RAD52,混合(HR+NER),3,0,0,1,0,0,0,0,17,"['GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING', 'GOBP_DNA_REPAIR', 'GOBP_DNA_REPAIR_COMPLEX_ASSEMBLY', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_SINGLE_STRAND_ANNEALING', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_SYNTHESIS_DEPENDENT_STRAND_ANNEALING', 'GOBP_MITOTIC_RECOMBINATION', 'GOBP_NUCLEOTIDE_EXCISION_REPAIR', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_REGULATION_OF_DNA_REPAIR', 'GOCC_PROTEIN_DNA_COMPLEX', 'HADDAD_B_LYMPHOCYTE_PROGENITOR', 'HALLMARK_DNA_REPAIR', 'KAUFFMANN_DNA_REPAIR_GENES', 'KEGG_HOMOLOGOUS_RECOMBINATION', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_REPAIR', 'REACTOME_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS', 'REACTOME_HOMOLOGY_DIRECTED_REPAIR', 'REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS', 'SCHLOSSER_SERUM_RESPONSE_DN', 'STANELLE_E2F1_TARGETS', 'WP_DNA_DAMAGE_RESPONSE', 'WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR', 'WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE', 'WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE']"
RPA1,混合(NER+HR+MMR+BER+TLS+NHEJ),4,1,2,8,4,2,0,0,53,"['ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP', 'BILD_E2F3_ONCOGENIC_SIGNATURE', 'BIOCARTA_P53HYPOXIA_PATHWAY', 'BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP', 'CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'CHICAS_RB1_TARGETS_SENESCENT', 'CHROMOSOMAL_PART', 'COLLIS_PRKDC_SUBSTRATES', 'GNF2_XRCC5', 'GOBP_BASE_EXCISION_REPAIR', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DNA_REPLICATION', 'GOBP_DNA_TEMPLATED_DNA_REPLICATION', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_MISMATCH_REPAIR', 'GOBP_NUCLEOTIDE_EXCISION_REPAIR', 'GOBP_PROTEIN_LOCALIZATION_TO_SITE_OF_DOUBLE_STRAND_BREAK', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS', 'GOBP_TELOMERE_ORGANIZATION', 'GOCC_CHROMOSOME', 'GOCC_CONDENSED_CHROMOSOME', 'GOCC_CONDENSED_NUCLEAR_CHROMOSOME', 'GOCC_DNA_REPLICATION_FACTOR_A_COMPLEX', 'GOCC_NUCLEAR_REPLICATION_FORK', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOCC_REPLICATION_FORK', 'GOCC_REPLISOME', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOCC_SITE_OF_DOUBLE_STRAND_BREAK', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_SEQUENCE_SPECIFIC_SINGLE_STRANDED_DNA_BINDING', 'HEIDENBLAD_AMPLICON_12P11_12_UP', 'HP_ABNORMALLY_LOW_T_CELL_RECEPTOR_EXCISION_CIRCLE_LEVEL', 'HP_ABNORMAL_CHROMOSOME_MORPHOLOGY', 'KAUFFMANN_DNA_REPAIR_GENES', 'KAUFFMANN_DNA_REPLICATION_GENES', 'KEGG_DNA_REPLICATION', 'KEGG_HOMOLOGOUS_RECOMBINATION', 'KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING', 'KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION', 'KEGG_MISMATCH_REPAIR', 'KEGG_NUCLEOTIDE_EXCISION_REPAIR', 'MODULE_158', 'MODULE_403', 'PULVER_FOREY_CELLCYCLE_PEAKING_S1', 'REACTOME_BASE_EXCISION_REPAIR', 'REACTOME_DISEASES_OF_DNA_REPAIR', 'REACTOME_DNA_DAMAGE_BYPASS', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_REPAIR', 'REACTOME_DNA_REPLICATION', 'REACTOME_DNA_REPLICATION_PRE_INITIATION', 'REACTOME_DNA_STRAND_ELONGATION', 'REACTOME_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT', 'REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER', 'REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER', 'REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE', 'REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS', 'REACTOME_HOMOLOGY_DIRECTED_REPAIR', 'REACTOME_MISMATCH_REPAIR', 'REACTOME_NUCLEOTIDE_EXCISION_REPAIR', 'REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR', 'REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS', 'REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX', 'REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER', 'REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS', 'REACTOME_SYNTHESIS_OF_DNA', 'REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS', 'REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER', 'REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE', 'SONG_TARGETS_OF_IE86_CMV_PROTEIN', 'STRUCTURE_SPECIFIC_DNA_BINDING', 'TIEN_INTESTINE_PROBIOTICS_24HR_UP', 'WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR', 'WP_DNA_MISMATCH_REPAIR', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'WP_DNA_REPLICATION', 'WP_NUCLEOTIDE_EXCISION_REPAIR', 'WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM']"
SFN,核苷酸切除修复（NER）,0,0,0,1,0,0,0,0,16,"['BILD_HRAS_ONCOGENIC_SIGNATURE', 'BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP', 'CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN', 'DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP', 'FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE', 'GSE12963_UNINF_VS_ENV_AND_NEF_DEFICIENT_HIV1_INF_CD4_TCELL_UP', 'HOQUE_METHYLATED_IN_CANCER', 'HUPER_BREAST_BASAL_VS_LUMINAL_UP', 'INGA_TP53_TARGETS', 'KEGG_CELL_CYCLE', 'KEGG_P53_SIGNALING_PATHWAY', 'KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP', 'LI_AMPLIFIED_IN_LUNG_CANCER', 'LOPEZ_MBD_TARGETS', 'PULVER_FOREY_CELLCYCLE_PEAKING_LG1', 'REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT', 'SCHAVOLT_TARGETS_OF_TP53_AND_TP63', 'SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_UP', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP', 'WP_DNA_DAMAGE_RESPONSE', 'WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE']"
UBA1,核苷酸切除修复（NER）,0,0,0,3,0,0,0,0,8,"['DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP', 'DACOSTA_UV_RESPONSE_VIA_ERCC3_UP', 'ENK_UV_RESPONSE_KERATINOCYTE_UP', 'FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN', 'GOBP_DNA_DAMAGE_RESPONSE', 'HP_TYPIFIED_BY_SOMATIC_MOSAICISM', 'KAUFFMANN_DNA_REPAIR_GENES', 'KAUFFMANN_DNA_REPLICATION_GENES', 'LOPEZ_MBD_TARGETS', 'LOPEZ_MBD_TARGETS_IMPRINTED_AND_X_LINKED', 'MATTIOLI_MGUS_VS_PCL', 'OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP', 'SCHLOSSER_SERUM_RESPONSE_UP']"
UBE2N,混合(NER+HR),3,0,0,5,0,0,0,0,22,"['ACEVEDO_LIVER_CANCER_UP', 'ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP', 'BAE_BRCA1_TARGETS_UP', 'ENK_UV_RESPONSE_KERATINOCYTE_DN', 'FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP', 'GENTILE_UV_HIGH_DOSE_DN', 'GENTILE_UV_RESPONSE_CLUSTER_D5', 'GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_POSTREPLICATION_REPAIR', 'GOBP_PROTEIN_K63_LINKED_UBIQUITINATION', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_REGULATION_OF_DNA_REPAIR', 'KAUFFMANN_DNA_REPAIR_GENES', 'KYNG_DNA_DAMAGE_BY_4NQO_OR_GAMMA_RADIATION', 'KYNG_DNA_DAMAGE_UP', 'KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_DN', 'MAHAJAN_RESPONSE_TO_IL1A_DN', 'NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP', 'PULVER_FOREY_PERTURB_ATTRITION_LG1', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE', 'REACTOME_DNA_REPAIR', 'REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT', 'REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER', 'REACTOME_HOMOLOGY_DIRECTED_REPAIR', 'REACTOME_NUCLEOTIDE_EXCISION_REPAIR', 'REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS', 'SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN', 'SU_HO_CONV_CENT_CHONDROSARCOMA_C3_CHONDROBLASTIC_OSTEOSARCOMA', 'TIEN_INTESTINE_PROBIOTICS_24HR_UP', 'WAKASUGI_HAVE_ZNF143_BINDING_SITES', 'WEI_MYCN_TARGETS_WITH_E_BOX']"
UBE2V2,混合(NER+HR),1,0,0,2,0,0,0,0,15,"['ACEVEDO_LIVER_CANCER_UP', 'ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP', 'BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP', 'DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP', 'GEORGES_TARGETS_OF_MIR192_AND_MIR215', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_POSTREPLICATION_REPAIR', 'GOBP_PROTEIN_K63_LINKED_UBIQUITINATION', 'GOBP_REGULATION_OF_DNA_REPAIR', 'KAUFFMANN_DNA_REPAIR_GENES', 'MODULE_403', 'OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE', 'REACTOME_DNA_REPAIR', 'REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT', 'REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER', 'REACTOME_HOMOLOGY_DIRECTED_REPAIR', 'REACTOME_NUCLEOTIDE_EXCISION_REPAIR', 'REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS', 'SU_HO_CONV_CENT_CHONDROSARCOMA_C5_CHON2', 'ZHAN_MULTIPLE_MYELOMA_SUBGROUPS']"
